time,fabrikkanal_q_m3s
2026-01-06T06:00:00,4.78
2026-01-06T06:15:00,4.795
2026-01-06T06:30:00,4.721
2026-01-06T06:45:00,4.736
2026-01-06T07:00:00,4.733
2026-01-06T07:15:00,4.755
2026-01-06T07:30:00,4.727
2026-01-06T07:45:00,4.712
2026-01-06T08:00:00,4.678
2026-01-06T08:15:00,4.662
2026-01-06T08:30:00,4.681
2026-01-06T08:45:00,4.66
2026-01-06T09:00:00,4.685
2026-01-06T09:15:00,4.668
2026-01-06T09:30:00,4.664
2026-01-06T09:45:00,4.682
2026-01-06T10:00:00,4.679
2026-01-06T10:15:00,4.687
2026-01-06T10:30:00,4.722
2026-01-06T10:45:00,4.725
2026-01-06T11:00:00,4.779
2026-01-06T11:15:00,4.732
2026-01-06T11:30:00,4.711
2026-01-06T11:45:00,4.708
2026-01-06T12:00:00,4.767
2026-01-06T12:15:00,4.775
2026-01-06T12:30:00,4.783
2026-01-06T12:45:00,4.702
2026-01-06T13:00:00,4.721
2026-01-06T13:15:00,4.73
2026-01-06T13:30:00,4.72
2026-01-06T13:45:00,4.733
2026-01-06T14:00:00,4.757
2026-01-06T14:15:00,4.713
2026-01-06T14:30:00,4.675
2026-01-06T14:45:00,4.755
2026-01-06T15:00:00,4.674
2026-01-06T15:15:00,4.671
2026-01-06T15:30:00,4.742
2026-01-06T15:45:00,4.74
2026-01-06T16:00:00,4.74
2026-01-06T16:15:00,4.705
2026-01-06T16:30:00,4.712
2026-01-06T16:45:00,4.695
2026-01-06T17:00:00,4.647
2026-01-06T17:15:00,4.676
2026-01-06T17:30:00,4.688
2026-01-06T17:45:00,4.666
2026-01-06T18:00:00,4.682
2026-01-06T18:15:00,4.682
2026-01-06T18:30:00,4.664
2026-01-06T18:45:00,4.705
2026-01-06T19:00:00,4.623
2026-01-06T19:15:00,4.643
2026-01-06T19:30:00,4.692
2026-01-06T19:45:00,4.686
2026-01-06T20:00:00,4.694
2026-01-06T20:15:00,4.712
2026-01-06T20:30:00,4.826
2026-01-06T20:45:00,4.807
2026-01-06T21:00:00,4.844
2026-01-06T21:15:00,4.82
2026-01-06T21:30:00,4.819
2026-01-06T21:45:00,4.824
2026-01-06T22:00:00,4.817
2026-01-06T22:15:00,4.821
2026-01-06T22:30:00,4.822
2026-01-06T22:45:00,4.838
2026-01-06T23:00:00,4.84
2026-01-06T23:15:00,4.76
2026-01-06T23:30:00,4.764
2026-01-06T23:45:00,4.845
2026-01-07T00:00:00,4.825
2026-01-07T00:15:00,4.806
2026-01-07T00:30:00,4.812
2026-01-07T00:45:00,4.739
2026-01-07T01:00:00,4.814
2026-01-07T01:15:00,4.809
2026-01-07T01:30:00,4.816
2026-01-07T01:45:00,4.802
2026-01-07T02:00:00,4.803
2026-01-07T02:15:00,4.856
2026-01-07T02:30:00,4.849
2026-01-07T02:45:00,4.929
2026-01-07T03:00:00,5.083
2026-01-07T03:15:00,5.369
2026-01-07T03:30:00,5.579
2026-01-07T03:45:00,5.502
2026-01-07T04:00:00,5.572
2026-01-07T04:15:00,5.555
2026-01-07T04:30:00,5.502
2026-01-07T04:45:00,5.508
2026-01-07T05:00:00,5.511
2026-01-07T05:15:00,5.553
2026-01-07T05:30:00,5.426
2026-01-07T05:45:00,5.391
2026-01-07T06:00:00,5.23
2026-01-07T06:15:00,5.237
2026-01-07T06:30:00,5.229
2026-01-07T06:45:00,5.186
2026-01-07T07:00:00,5.164
2026-01-07T07:15:00,5.106
2026-01-07T07:30:00,5.119
2026-01-07T07:45:00,5.117
2026-01-07T08:00:00,5.119
2026-01-07T08:15:00,5.183
2026-01-07T08:30:00,5.154
2026-01-07T08:45:00,5.105
2026-01-07T09:00:00,5.14
2026-01-07T09:15:00,5.112
2026-01-07T09:30:00,5.135
2026-01-07T09:45:00,5.172
2026-01-07T10:00:00,5.115
2026-01-07T10:15:00,5.151
2026-01-07T10:30:00,5.27
2026-01-07T10:45:00,5.296
2026-01-07T11:00:00,5.333
2026-01-07T11:15:00,5.573
2026-01-07T11:30:00,5.687
2026-01-07T11:45:00,5.588
2026-01-07T12:00:00,5.58
2026-01-07T12:15:00,5.655
2026-01-07T12:30:00,5.726
2026-01-07T12:45:00,5.642
2026-01-07T13:00:00,5.618
2026-01-07T13:15:00,5.573
2026-01-07T13:30:00,5.586
2026-01-07T13:45:00,5.712
2026-01-07T14:00:00,5.708
2026-01-07T14:15:00,5.666
2026-01-07T14:30:00,5.625
2026-01-07T14:45:00,5.607
2026-01-07T15:00:00,5.71
2026-01-07T15:15:00,5.635
2026-01-07T15:30:00,5.658
2026-01-07T15:45:00,5.735
2026-01-07T16:00:00,6.285
2026-01-07T16:15:00,7.278
2026-01-07T16:30:00,8.0
2026-01-07T16:45:00,8.228
2026-01-07T17:00:00,8.432
2026-01-07T17:15:00,8.738
2026-01-07T17:30:00,9.094
2026-01-07T17:45:00,9.499
2026-01-07T18:00:00,9.631
2026-01-07T18:15:00,9.659
2026-01-07T18:30:00,9.676
2026-01-07T18:45:00,9.674
2026-01-07T19:00:00,9.674
2026-01-07T19:15:00,9.673
2026-01-07T19:30:00,9.67
2026-01-07T19:45:00,9.659
2026-01-07T20:00:00,9.582
2026-01-07T20:15:00,9.605
2026-01-07T20:30:00,9.608
2026-01-07T20:45:00,9.572
2026-01-07T21:00:00,9.411
2026-01-07T21:15:00,9.419
2026-01-07T21:30:00,9.442
2026-01-07T21:45:00,9.419
2026-01-07T22:00:00,9.425
2026-01-07T22:15:00,9.419
2026-01-07T22:30:00,9.417
2026-01-07T22:45:00,8.919
2026-01-07T23:00:00,7.771
2026-01-07T23:15:00,6.839
2026-01-07T23:30:00,6.664
2026-01-07T23:45:00,6.622
2026-01-08T00:00:00,6.321
2026-01-08T00:15:00,6.068
2026-01-08T00:30:00,6.109
2026-01-08T00:45:00,6.147
2026-01-08T01:00:00,6.102
2026-01-08T01:15:00,6.104
2026-01-08T01:30:00,6.081
2026-01-08T01:45:00,6.031
2026-01-08T02:00:00,6.094
2026-01-08T02:15:00,6.11
2026-01-08T02:30:00,6.094
2026-01-08T02:45:00,6.108
2026-01-08T03:00:00,6.085
2026-01-08T03:15:00,6.059
2026-01-08T03:30:00,5.982
2026-01-08T03:45:00,6.033
2026-01-08T04:00:00,6.049
2026-01-08T04:15:00,6.045
2026-01-08T04:30:00,6.003
2026-01-08T04:45:00,6.004
2026-01-08T05:00:00,6.067
2026-01-08T05:15:00,6.176
2026-01-08T05:30:00,6.221
2026-01-08T05:45:00,6.203
2026-01-08T06:00:00,6.183
2026-01-08T06:15:00,6.059
2026-01-08T06:30:00,5.997
2026-01-08T06:45:00,5.662
2026-01-08T07:00:00,5.582
2026-01-08T07:15:00,5.596
2026-01-08T07:30:00,5.609
2026-01-08T07:45:00,5.585
2026-01-08T08:00:00,5.598
2026-01-08T08:15:00,5.631
2026-01-08T08:30:00,5.654
2026-01-08T08:45:00,5.614
2026-01-08T09:00:00,5.582
2026-01-08T09:15:00,5.583
2026-01-08T09:30:00,5.597
2026-01-08T09:45:00,5.627
2026-01-08T10:00:00,5.657
2026-01-08T10:15:00,5.636
2026-01-08T10:30:00,5.631
2026-01-08T10:45:00,5.573
2026-01-08T11:00:00,5.578
2026-01-08T11:15:00,5.618
2026-01-08T11:30:00,5.627
2026-01-08T11:45:00,5.627
2026-01-08T12:00:00,5.635
2026-01-08T12:15:00,5.684
2026-01-08T12:30:00,5.696
2026-01-08T12:45:00,5.703
2026-01-08T13:00:00,5.704
2026-01-08T13:15:00,5.702
2026-01-08T13:30:00,5.719
2026-01-08T13:45:00,5.679
2026-01-08T14:00:00,5.667
2026-01-08T14:15:00,5.823
2026-01-08T14:30:00,6.049
2026-01-08T14:45:00,6.044
2026-01-08T15:00:00,5.992
2026-01-08T15:15:00,5.972
2026-01-08T15:30:00,5.986
2026-01-08T15:45:00,6.081
2026-01-08T16:00:00,6.256
2026-01-08T16:15:00,6.292
2026-01-08T16:30:00,6.41
2026-01-08T16:45:00,6.704
2026-01-08T17:00:00,7.085
2026-01-08T17:15:00,7.103
2026-01-08T17:30:00,7.053
2026-01-08T17:45:00,7.103
2026-01-08T18:00:00,7.03
2026-01-08T18:15:00,7.066
2026-01-08T18:30:00,7.024
2026-01-08T18:45:00,7.058
2026-01-08T19:00:00,7.03
2026-01-08T19:15:00,7.03
2026-01-08T19:30:00,7.04
2026-01-08T19:45:00,7.009
2026-01-08T20:00:00,7.049
2026-01-08T20:15:00,7.042
2026-01-08T20:30:00,7.054
2026-01-08T20:45:00,7.043
2026-01-08T21:00:00,7.058
2026-01-08T21:15:00,7.0
2026-01-08T21:30:00,7.024
2026-01-08T21:45:00,7.096
2026-01-08T22:00:00,6.973
2026-01-08T22:15:00,7.014
2026-01-08T22:30:00,7.019
2026-01-08T22:45:00,7.069
2026-01-08T23:00:00,7.162
2026-01-08T23:15:00,7.064
2026-01-08T23:30:00,6.998
2026-01-08T23:45:00,6.916
2026-01-09T00:00:00,6.771
2026-01-09T00:15:00,6.672
2026-01-09T00:30:00,6.732
2026-01-09T00:45:00,6.606
2026-01-09T01:00:00,6.6
2026-01-09T01:15:00,6.666
2026-01-09T01:30:00,6.662
2026-01-09T01:45:00,6.596
2026-01-09T02:00:00,6.625
2026-01-09T02:15:00,6.862
2026-01-09T02:30:00,7.747
2026-01-09T02:45:00,8.471
2026-01-09T03:00:00,8.53
2026-01-09T03:15:00,8.419
2026-01-09T03:30:00,8.502
2026-01-09T03:45:00,8.543
2026-01-09T04:00:00,8.544
2026-01-09T04:15:00,8.516
2026-01-09T04:30:00,8.453
2026-01-09T04:45:00,8.432
2026-01-09T05:00:00,8.409
2026-01-09T05:15:00,8.47
2026-01-09T05:30:00,8.528
2026-01-09T05:45:00,8.552
2026-01-09T06:00:00,8.473
2026-01-09T06:15:00,8.354
2026-01-09T06:30:00,8.342
2026-01-09T06:45:00,8.364
2026-01-09T07:00:00,8.373
2026-01-09T07:15:00,8.3
2026-01-09T07:30:00,8.257
2026-01-09T07:45:00,8.308
2026-01-09T08:00:00,8.341
2026-01-09T08:15:00,8.361
2026-01-09T08:30:00,8.253
2026-01-09T08:45:00,8.317
2026-01-09T09:00:00,8.318
2026-01-09T09:15:00,8.317
2026-01-09T09:30:00,8.312
2026-01-09T09:45:00,8.314
2026-01-09T10:00:00,8.317
2026-01-09T10:15:00,8.307
2026-01-09T10:30:00,8.375
2026-01-09T10:45:00,8.922
2026-01-09T11:00:00,10.029
2026-01-09T11:15:00,10.776
2026-01-09T11:30:00,10.902
2026-01-09T11:45:00,10.996
2026-01-09T12:00:00,11.1
2026-01-09T12:15:00,11.108
2026-01-09T12:30:00,11.072
